num,question,rewrite_short_le6,rewrite_special_term_or_alias,rewrite_wikipedia_style,rewrite_any,categories,rationale,smart_rewrite,use_rewrite_for_rerank,rerank_reason,rerank_rewrite
1,What is the prevalence of primary adrenal insufficiency?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
2,What is adductor canal syndrome?,True,False,True,True,short<=6; wikipedia_style,Very short; entity-only formulation; likely needs synonym/clinical anchor.,"Adductor canal syndrome: causes, symptoms, diagnosis, and management of saphenous nerve entrapment in the adductor canal",no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
3,What are the main types of DNA damage induced by UV radiation?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
4,What are indications of quetiapine?,True,False,True,True,short<=6; wikipedia_style,Very short; drug query should keep the drug name and answer facet explicit.,What are the approved and common clinical indications for quetiapine?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
5,"In GBM, which cell state is associated with the loss of Neurofibromin (NF1)?",False,True,False,True,special_term_or_alias,Acronym + gene/entity-heavy wording; expand aliases without changing intent.,"In glioblastoma (GBM), which tumor cell state is associated with loss of neurofibromin 1 (NF1)?",yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.","In glioblastoma (GBM), which tumor cell state is associated with loss of neurofibromin 1 (NF1)?"
6,What the recurrence percentage for Cushing's Disease?,False,True,False,True,special_term_or_alias,Retrieval-hostile grammar; keep disease exact and normalize wording.,What is the recurrence rate of Cushing disease after treatment or remission?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What is the recurrence rate of Cushing disease?
7,What causes neuronal ceroid lipofuscinoses (NCLs)?,True,True,True,True,short<=6; special_term_or_alias; wikipedia_style,Short and rare disease name; add common alias while keeping the causal facet.,What are the genetic causes and disease mechanisms of neuronal ceroid lipofuscinoses (NCLs; Batten disease)?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",What causes neuronal ceroid lipofuscinoses (NCLs; Batten disease)?
8,Does the PI4KIIalpha of Drosophila melanogaster show homology with that of Homo sapiens?,False,True,False,True,special_term_or_alias,Protein/gene symbol + species names; normalize entity matching.,Does Drosophila melanogaster PI4KIIalpha show homology to human PI4KIIalpha in Homo sapiens?,yes,"Low-drift normalization: alias, acronym, spelling, or entity-form expansion likely to help reranking.",Does Drosophila melanogaster PI4KIIalpha show homology to human PI4KIIalpha?
9,Vitamin deficiencies in severe alcoholism.,True,False,True,True,short<=6; wikipedia_style,Very short noun phrase; add the exact clinical relation.,Which vitamin deficiencies are most common in severe alcoholism and alcohol use disorder?,no,Keep original for rerank: retrieval rewrite adds broader facets or explanation that may widen intent.,
10,Can tumor cells be reprogrammed into immune cells?,False,False,False,False,,,,no,No rewrite recommended for rerank.,
